,accuracies,losses
109,0.346364,1.8162
110,0.347928,1.80074
111,0.350536,1.75669
112,0.352655,1.80225
113,0.354035,1.8241
114,0.356522,1.73957
115,0.3575,1.83603
116,0.359231,1.85014
117,0.360593,1.85863
118,0.362353,1.82001
119,0.363917,1.77962
120,0.365868,1.75437
121,0.367623,1.73091
122,0.369106,1.7429
123,0.369919,1.817
124,0.37136,1.75795
125,0.372698,1.77837
126,0.373701,1.80807
127,0.375547,1.70203
128,0.377597,1.71425
129,0.379154,1.71576
130,0.38,1.79396
131,0.381667,1.72895
132,0.383609,1.6644
133,0.385149,1.71436
134,0.387185,1.56746
135,0.389779,1.55929
136,0.391168,1.66455
137,0.392391,1.69178
138,0.394029,1.62658
139,0.394786,1.70339
140,0.396879,1.61546
141,0.398592,1.64301
142,0.39958,1.65314
143,0.400347,1.73244
144,0.40269,1.53376
145,0.403699,1.62077
146,0.404762,1.7322
147,0.405743,1.74289
148,0.407315,1.55791
149,0.4088,1.52648
150,0.410861,1.44947
151,0.412105,1.54242
152,0.413725,1.50426
153,0.416039,1.43654
154,0.418194,1.46076
155,0.419615,1.47372
156,0.421911,1.41956
157,0.422532,1.6265
158,0.423711,1.58162
159,0.425187,1.49285
160,0.426398,1.53848
161,0.428395,1.38415
162,0.429693,1.44067
163,0.431341,1.3912
164,0.433152,1.32086
165,0.435241,1.25326
166,0.436707,1.38374
167,0.438036,1.37995
168,0.439349,1.39992
169,0.440647,1.50913
170,0.441813,1.44555
171,0.44343,1.28911
172,0.44474,1.3319
173,0.446609,1.22427
174,0.447829,1.3751
175,0.449318,1.3836
176,0.450452,1.42748
177,0.451573,1.39038
178,0.452793,1.3954
179,0.454833,1.16713
180,0.456519,1.29756
181,0.458571,1.0962
182,0.460383,1.20326
183,0.462011,1.20782
184,0.463243,1.34045
185,0.465108,1.15494
186,0.467059,1.17252
187,0.46883,1.13326
188,0.470265,1.1854
189,0.471895,1.10826
190,0.472932,1.38298
191,0.474271,1.21317
192,0.476062,1.07044
193,0.477577,1.11228
194,0.479231,1.00977
195,0.480714,1.1517
196,0.482386,0.991692
197,0.484495,0.906122
198,0.485779,1.01956
199,0.4871,1.13303
200,0.488159,1.19907
201,0.489752,1.05121
202,0.491133,1.06634
203,0.492451,1.01007
204,0.494146,0.926328
205,0.495825,0.988423
206,0.497198,0.931775
207,0.498798,1.00546
208,0.500191,1.08515
209,0.501381,1.13928
210,0.502512,1.00931
211,0.504057,0.911964
212,0.505728,0.897637
213,0.506916,1.02552
214,0.508093,1.00148
215,0.509722,0.921777
216,0.51129,0.913144
217,0.512982,0.827999
218,0.514566,0.754707
219,0.516,0.793413
220,0.517376,0.901849
221,0.518018,1.12325
222,0.519327,0.921195
223,0.520848,0.828306
224,0.521956,1.04884
225,0.522257,1.25115
226,0.52348,0.918968
227,0.524649,0.797613
228,0.525983,0.892049
229,0.527391,0.794832
