,accuracies,losses
777,0.832697,0.837593
778,0.832514,0.795521
779,0.832778,0.556427
780,0.832818,0.701021
781,0.833242,0.509465
782,0.833333,0.641528
783,0.833587,0.653228
784,0.833513,0.743852
785,0.834032,0.616314
786,0.834332,0.62878
787,0.834681,0.585265
788,0.835079,0.601893
789,0.835316,0.594498
790,0.835288,0.80168
791,0.835208,0.72888
792,0.835389,0.65836
793,0.835361,0.662742
794,0.835538,0.560679
795,0.835459,0.690505
796,0.835939,0.478022
797,0.836515,0.43631
798,0.836482,0.668226
799,0.8362,0.731369
800,0.835771,0.822644
801,0.835891,0.714485
802,0.83601,0.716511
803,0.836275,0.620304
804,0.836585,0.525157
805,0.836553,0.671483
806,0.836715,0.573541
807,0.836587,0.718907
808,0.836411,0.725016
809,0.836143,0.837101
810,0.836351,0.637282
811,0.836509,0.602611
812,0.836854,0.504582
813,0.836682,0.738344
814,0.836977,0.608732
815,0.837037,0.677709
816,0.837235,0.644936
817,0.837615,0.546439
818,0.838037,0.454375
819,0.838182,0.513968
820,0.83819,0.619691
821,0.837928,0.860473
822,0.837937,0.712122
823,0.838036,0.558273
824,0.837733,0.793429
825,0.836991,1.02965
826,0.836828,0.727549
827,0.836842,0.593603
828,0.836812,0.623784
829,0.83713,0.536871
830,0.837186,0.645891
831,0.837069,0.655343
832,0.83721,0.577841
833,0.837308,0.599282
834,0.837447,0.627629
835,0.837585,0.602048
836,0.837511,0.744334
837,0.837521,0.749382
838,0.837406,0.699501
839,0.837583,0.670202
840,0.837718,0.612139
841,0.837893,0.577197
842,0.837737,0.779909
843,0.837787,0.627727
844,0.837755,0.655822
845,0.837683,0.700011
846,0.837652,0.690915
847,0.837419,0.870657
848,0.83759,0.618655
849,0.83748,0.763603
850,0.837649,0.572684
851,0.837619,0.609125
852,0.837628,0.607927
853,0.837717,0.601393
854,0.837961,0.520086
855,0.838242,0.517992
856,0.838482,0.564547
857,0.838721,0.559244
858,0.838649,0.717136
859,0.838654,0.659521
860,0.838927,0.516606
861,0.839198,0.520828
862,0.839278,0.640101
863,0.83928,0.768628
864,0.83917,0.732609
865,0.839098,0.720948
866,0.839026,0.787951
867,0.838881,0.73151
868,0.838848,0.71452
869,0.839111,0.563177
870,0.839336,0.572524
871,0.839191,0.765221
872,0.839267,0.667299
873,0.83927,0.652974
874,0.839127,0.71746
875,0.839348,0.607021
876,0.839386,0.636397
877,0.839317,0.735044
878,0.839498,0.615782
879,0.839679,0.498259
880,0.840036,0.441857
881,0.840071,0.625457
882,0.840177,0.522382
883,0.840282,0.733533
884,0.840491,0.524363
885,0.840524,0.590002
886,0.840348,0.846968
887,0.840417,0.637603
888,0.840519,0.536222
889,0.840517,0.6031
890,0.840584,0.669096
891,0.840342,0.843654
892,0.840375,0.624735
893,0.840374,0.654476
894,0.840441,0.518871
895,0.840405,0.640956
896,0.840539,0.608614
897,0.840369,0.826962
898,0.840134,0.860655
899,0.8399,0.870603
900,0.839767,0.749629
901,0.83947,0.963818
902,0.83967,0.593678
903,0.839671,0.604797
904,0.839607,0.73898
905,0.839477,0.762994
906,0.839446,0.834306
907,0.839545,0.728146
908,0.839385,0.749609
909,0.839581,0.610595
910,0.839646,0.685594
911,0.839647,0.686003
912,0.839553,0.76089
913,0.839331,0.920034
914,0.839302,0.761891
915,0.839494,0.643672
