,loss,accuracy,val_loss,val_accuracy
209,0.0913454,0.99296,3.41387,0.5113
210,0.0900834,0.99332,3.42632,0.5109
211,0.0888401,0.99354,3.43889,0.5106
212,0.0876183,0.99384,3.45116,0.5105
213,0.0864184,0.99396,3.46334,0.5105
214,0.0852349,0.99412,3.47523,0.5103
215,0.0840743,0.9943,3.48717,0.5099
216,0.082926,0.99446,3.49902,0.5099
217,0.0818095,0.99456,3.51084,0.5094
218,0.0807007,0.9946,3.52271,0.5091
219,0.079613,0.99482,3.53444,0.5092
220,0.0785447,0.99496,3.54595,0.5091
221,0.0774918,0.99506,3.55759,0.5092
222,0.0764601,0.99518,3.56905,0.5086
223,0.0754445,0.99534,3.58033,0.5082
224,0.0744442,0.99548,3.59168,0.5083
225,0.0734604,0.99564,3.60296,0.5079
226,0.0724883,0.99584,3.61419,0.5071
227,0.0715359,0.996,3.62542,0.5069
228,0.0706026,0.99618,3.63645,0.5064
229,0.0696825,0.99632,3.64742,0.5069
230,0.068779,0.99646,3.65831,0.507
231,0.0678929,0.9966,3.66907,0.5072
232,0.0670193,0.9967,3.6799,0.5076
233,0.0661606,0.99684,3.69042,0.5074
234,0.065316,0.99702,3.70124,0.5075
235,0.0644854,0.9971,3.71169,0.5073
236,0.0636729,0.99714,3.72216,0.5074
237,0.0628698,0.99726,3.73259,0.5076
238,0.0620863,0.99732,3.74299,0.5074
239,0.0613137,0.9975,3.75318,0.5075
240,0.06055,0.99758,3.76351,0.5074
241,0.0598021,0.99766,3.77367,0.5079
242,0.0590679,0.9978,3.78383,0.5079
243,0.0583486,0.99786,3.7939,0.5075
244,0.0576391,0.9979,3.80386,0.5075
245,0.0569394,0.99802,3.81377,0.5078
246,0.0562512,0.9981,3.82359,0.5074
247,0.0555743,0.99824,3.83329,0.5075
248,0.0549122,0.9983,3.84299,0.5075
249,0.0542618,0.99834,3.85261,0.5079
250,0.0536186,0.9984,3.86217,0.5078
251,0.0529878,0.99846,3.87173,0.5078
252,0.0523677,0.9985,3.8812,0.5076
253,0.0517574,0.99856,3.89058,0.5074
254,0.0511607,0.99864,3.89996,0.5076
255,0.05057,0.99868,3.90924,0.5077
256,0.0499906,0.99868,3.91845,0.5077
257,0.0494215,0.99874,3.92756,0.5078
258,0.0488603,0.99874,3.93667,0.5078
259,0.0483075,0.99878,3.9457,0.5076
260,0.0477643,0.9988,3.95469,0.5076
261,0.0472285,0.9988,3.96357,0.5074
262,0.0467013,0.99882,3.97239,0.5075
263,0.046185,0.99886,3.9812,0.5071
264,0.0456755,0.99894,3.98997,0.507
265,0.0451755,0.99898,3.99862,0.5066
266,0.0446843,0.99908,4.00717,0.5066
267,0.0442001,0.99908,4.01584,0.5064
268,0.0437233,0.9991,4.02433,0.5065
269,0.0432549,0.99912,4.03279,0.5063
270,0.0427918,0.99914,4.04125,0.5062
271,0.0423364,0.99916,4.04966,0.5063
272,0.0418899,0.99922,4.05798,0.5063
273,0.0414494,0.99926,4.0663,0.5063
274,0.0410165,0.99926,4.07454,0.5062
275,0.0405899,0.99926,4.08268,0.5061
276,0.0401707,0.99926,4.09074,0.5061
277,0.0397586,0.99928,4.09882,0.5061
278,0.0393531,0.99934,4.10683,0.5061
279,0.0389531,0.99936,4.11482,0.506
280,0.0385599,0.99938,4.12272,0.5056
281,0.0381724,0.9994,4.13059,0.5058
282,0.0377927,0.99942,4.13845,0.5058
283,0.0374174,0.99942,4.14622,0.5053
284,0.0370471,0.99942,4.15394,0.505
285,0.0366833,0.99942,4.16159,0.5049
286,0.0363246,0.99942,4.1692,0.5048
287,0.0359725,0.99946,4.17675,0.5048
288,0.0356243,0.99952,4.1843,0.5046
289,0.0352825,0.99954,4.19173,0.5045
290,0.0349461,0.99954,4.19912,0.5045
291,0.0346144,0.99954,4.2065,0.505
292,0.0342879,0.99956,4.2139,0.5045
293,0.0339659,0.9996,4.22128,0.5045
294,0.0336492,0.99962,4.22857,0.5045
295,0.0333376,0.99962,4.23578,0.5044
296,0.0330297,0.99962,4.24301,0.5046
297,0.0327275,0.99962,4.25011,0.5047
298,0.0324273,0.99962,4.25721,0.505
299,0.0321333,0.99962,4.26428,0.505
